date,item,kolkata,delhi,mumbai,chennai
2024-02-01,ANGLES 75X75X6 MM,59900,80770,61280,59990
2024-02-01,CHANNELS 150X75 MM,55680,61150,61600,80280
2024-02-01,PLATES 10 MM,63070,64610,64300,67180
2024-02-01,PLATES 25 MM,84740,68590,68020,71250
2024-02-15,TMT 10 MM,58730,60770,61080,59450
2024-02-15,TMT 25 MM,57690,59300,60730,58860
2024-02-15,PLATES 10 MM,63000,64200,63770,67180
2024-02-15,PLATES 25 MM,64170,68330,66980,71250
2024-03-02,TMT 10 MM,56960,60970,61930,59150
2024-03-02,TMT 25 MM,56880,50380,61600,58560
2024-03-02,ANGLES 75X75X6 MM,58650,60890,60980,59990
2024-03-02,CHANNELS 150X75 MM,58450,61190,61290,60280
2024-03-02,PLATES 10 MM,64100,63670,63700,67180
2024-03-02,PLATES 25 MM,65600,67500,87420,71250
2024-04-01,TMT 10 MM,56770,61320,62730,59150
2024-04-01,TMT 25 MM,55900,59840,62490,58860
2024-04-01,ANGLES 75X75X6 MM,57750,60100,61460,59500
2024-04-01,PLATES 10 MM,62340,62660,62990,66000
2024-04-01,PLATES 25 MM,63900,66560,65650,70760
2024-04-15,TMT 10 MM,58620,83580,64820,61220
2024-04-15,TMT 25 MM,58370,61070,64300,60850
2024-04-15,ANGLES 75X75X6 MM,59500,61900,63590,60380
2024-04-15,PLATES 10 MM,62250,83720,65650,66000
2024-04-15,PLATES 25 MM,85850,67970,66710,70760
2024-05-01,TMT 10 MM,62040,86720,85910,63280
2024-05-01,TMT 25 MM,61870,65660,65470,62200
2024-05-01,ANGLES 75X75X6 MM,62080,63350,64970,81560
2024-05-01,CHANNELS 150X75 MM,62000,63250,66320,63430
2024-05-01,PLATES 10 MM,62500,64480,65650,66000
2024-05-01,PLATES 25 MM,64250,68440,66710,70760
2024-05-15,TMT 10 MM,62890,66820,87610,68530
2024-05-15,TMT 25 MM,62720,85760,67120,85040
2024-05-15,ANGLES 75X75X6 MM,93590,64370,87940,68490
2024-05-15,CHANNELS 150X75 MM,53200,63520,86060,64900
2024-05-15,PLATES 25 MM,65500,68330,67770,70780
2024-06-03,TMT 10 MM,62840,67070,66470,67410
2024-06-03,TMT 25 MM,62670,65490,85940,66820
2024-06-03,ANGLES 75X75X6 MM,81790,64330,65280,64510
2024-06-03,CHANNELS 150X75 MM,62590,64370,66100,65300
2024-06-03,PLATES 10 MM,62500,66390,64880,66910
2024-06-03,PLATES 25 MM,64750,69390,87540,70760
2024-06-15,TMT 25 MM,62340,65470,64540,65640
2024-06-15,ANGLES 75X75X6 MM,61370,63990,63920,64510
2024-06-15,CHANNELS 150X75 MM,61500,64850,65120,65300
2024-06-15,PLATES 10 MM,62500,64700,64360,66870
2024-06-15,PLATES 25 MM,64750,68890,66500,70760
2024-07-01,TMT 25 MM,58760,61610,60340,61780
2024-07-01,ANGLES 75X75X6 MM,58360,60960,61090,62190
2024-07-01,CHANNELS 150X75 MM,57650,61600,61900,62600
2024-07-01,PLATES 10 MM,61170,64150,63640,66710
2024-07-01,PLATES 25 MM,63000,67500,66590,70700
2024-07-15,TMT 10 MM,56890,59710,58440,60840
2024-07-15,TMT 25 MM,57510,58120,57840,60250
2024-07-15,ANGLES 75X75X6 MM,56570,60220,59420,61050
2024-07-15,PLATES 10 MM,60340,62970,63050,64930
2024-07-15,PLATES 25 MM,61840,66440,65410,69650
2024-08-01,TMT 10 MM,59480,62030,55420,59240
2024-08-01,TMT 25 MM,59880,60850,54810,58660
2024-08-01,ANGLES 75X75X6 MM,59050,59330,59240,59920
2024-08-01,PLATES 10 MM,61800,62540,61870,63520
2024-08-01,PLATES 25 MM,62970,66670,64820,67750
2024-08-16,TMT 10 MM,56550,60290,56250,56180
2024-08-16,TMT 25 MM,56760,58900,55640,55760
2024-08-16,ANGLES 75X75X6 MM,57450,59440,60400,59530
2024-08-16,CHANNELS 150X75 MM,58530,59930,60620,60150
2024-08-16,PLATES 25 MM,62000,63490,63050,67670
2024-09-02,TMT 10 MM,54010,60470,56660,58900
2024-09-02,TMT 25 MM,54240,59410,56220,58310
2024-09-02,ANGLES 75X75X6 MM,56580,58710,58380,58640
2024-09-02,CHANNELS 150X75 MM,56400,59650,58660,59150
2024-09-02,PLATES 10 MM,59940,59120,59510,61270
2024-09-02,PLATES 25 MM,61330,61840,61870,65710
2024-09-16,TMT 10 MM,53850,57880,55810,58780
2024-09-16,TMT 25 MM,54160,56700,55370,58190
2024-09-16,ANGLES 75X75X6 MM,56850,58660,57460,58210
2024-09-16,CHANNELS 150X75 MM,56780,58770,58380,59010
2024-09-16,PLATES 10 MM,57840,56700,58330,60220
2024-10-01,TMT 10 MM,54360,61030,58420,59780
2024-10-01,TMT 25 MM,54710,59970,57990,58980
2024-10-01,CHANNELS 150X75 MM,57750,59840,61810,59010
2024-10-01,PLATES 10 MM,58240,56880,59510,60220
2024-10-01,PLATES 25 MM,59240,60300,60690,64550
2024-10-15,TMT 10 MM,53910,62500,59440,59780
2024-10-15,TMT 25 MM,54920,61320,59000,58980
2024-10-15,ANGLES 75X75X6 MM,58680,60750,61590,60350
2024-10-15,CHANNELS 150X75 MM,59350,61580,61880,61150
2024-10-15,PLATES 10 MM,58200,58000,58920,60220
2024-10-15,PLATES 25 MM,58830,60540,59510,64550
2024-11-01,TMT 10 MM,54100,62650,58420,59780
2024-11-01,ANGLES 75X75X6 MM,55100,60160,60180,59490
2024-11-01,PLATES 10 MM,55500,57230,59510,60220
2024-11-16,TMT 10 MM,54660,63670,58630,59780
2024-11-16,TMT 25 MM,54660,62490,58020,58980
2024-11-16,ANGLES 75X75X6 MM,58870,60740,59740,59490
2024-11-16,CHANNELS 150X75 MM,55480,61570,60710,60300
2024-11-16,PLATES 10 MM,59000,57680,58330,60220
2024-11-16,PLATES 25 MM,59500,61220,59510,64550
2024-12-05,TMT 25 MM,54600,61490,57310,58980
2024-12-05,ANGLES 75X75X6 MM,58930,59390,58420,58210
2024-12-05,CHANNELS 150X75 MM,59510,59830,59190,60300
2024-12-05,PLATES 10 MM,58670,55880,56560,59040
2024-12-05,PLATES 25 MM,58340,38300,58330,62340
2024-12-19,TMT 10 MM,53770,60490,58320,58770
2024-12-19,CHANNELS 150X75 MM,57350,59520,159120,60300
2024-12-19,PLATES 10 MM,55100,55940,56260,59040
2025-01-04,TMT 10 MM,53350,62610,58890,58010
2025-01-04,TMT 25 MM,53110,61430,58280,57610
2025-01-04,ANGLES 75X75X6 MM,56080,58970,58410,57780
